,number,aver_price,lat,long,demand,region,geometry
66,66,919383.6724270028,35.5230983516846,129.330342513699,14,대현동,POINT (129.330342513699 35.5230983516846)
67,67,923621.9476192484,35.5267179817181,129.321873474665,16,대현동,POINT (129.321873474665 35.5267179817181)
68,68,932663.728605104,35.5262942846655,129.329869845655,17,대현동,POINT (129.329869845655 35.5262942846655)
69,69,939957.7978131595,35.5249651336592,129.330348937883,6,대현동,POINT (129.330348937883 35.5249651336592)
70,70,941588.6571412929,35.5308676579127,129.323840997072,24,대현동,POINT (129.323840997072 35.5308676579127)
71,71,942678.286485823,35.5297769526798,129.322865677163,19,대현동,POINT (129.322865677163 35.5297769526798)
72,72,952666.2672258838,35.5271046404446,129.322616463197,2,대현동,POINT (129.322616463197 35.5271046404446)
73,73,956776.2269248086,35.5257442805644,129.323716459643,10,대현동,POINT (129.323716459643 35.5257442805644)
74,74,964955.9283480238,35.5282608203199,129.330623811022,8,대현동,POINT (129.330623811022 35.5282608203199)
75,75,982817.8694158077,35.5260970699181,129.333298868354,7,대현동,POINT (129.333298868354 35.5260970699181)
76,76,1013223.424351709,35.5287201433772,129.328034007044,7,대현동,POINT (129.328034007044 35.5287201433772)
77,77,1018230.595695384,35.5248309784334,129.330201384977,15,대현동,POINT (129.330201384977 35.5248309784334)
78,78,1020971.302428256,35.5287218171372,129.332051207035,8,대현동,POINT (129.332051207035 35.5287218171372)
79,79,1023251.0,35.5256298425032,129.334140500233,7,야음장생포동,POINT (129.334140500233 35.5256298425032)
80,80,1024770.732025717,35.5243922343109,129.333163377086,5,야음장생포동,POINT (129.333163377086 35.5243922343109)
81,81,1025885.721102231,35.5255040388724,129.333587680499,13,대현동,POINT (129.333587680499 35.5255040388724)
82,82,1026056.433103821,35.5250030465929,129.334148013373,7,야음장생포동,POINT (129.334148013373 35.5250030465929)
83,83,1040896.77260409,35.5266614700755,129.33067372789,6,대현동,POINT (129.33067372789 35.5266614700755)
84,84,1041825.095057034,35.5269193484386,129.32268517905,17,대현동,POINT (129.32268517905 35.5269193484386)
85,85,1042209.484106306,35.5249457880717,129.323836303678,10,대현동,POINT (129.323836303678 35.5249457880717)
86,86,1049420.378279439,35.5256236739167,129.333578766475,12,대현동,POINT (129.333578766475 35.5256236739167)
87,87,1051987.0,35.5286820885979,129.330587453146,12,대현동,POINT (129.330587453146 35.5286820885979)
88,88,1057828.0,35.5282170245692,129.330455863969,20,대현동,POINT (129.330455863969 35.5282170245692)
89,89,1059957.173447538,35.5250786340774,129.330352082376,1,대현동,POINT (129.330352082376 35.5250786340774)
90,90,1059990.97880018,35.5279890988455,129.330566182844,21,대현동,POINT (129.330566182844 35.5279890988455)
91,91,1063601.970162039,35.5250784909679,129.330212225731,19,대현동,POINT (129.330212225731 35.5250784909679)
92,92,1071846.173833961,35.5250156904014,129.334254463124,13,야음장생포동,POINT (129.334254463124 35.5250156904014)
93,93,1076946.379884884,35.5234694196264,129.330204335332,9,대현동,POINT (129.330204335332 35.5234694196264)
94,94,1078003.875968992,35.5272124852979,129.322033733988,6,대현동,POINT (129.322033733988 35.5272124852979)
